coin,exchange,time,open,high,low,close,volumeto,RSI,MFI,UPPERBAND,MIDDLEBAND,LOWERBAND,Accumulation/Distribution Oscillator,Accumulation/Distribution Line (AD)
DTB,Bittrex,2018-01-20 05:30:00,0.00011279999999999999,0.00011599999999999999,9.97e-05,0.00010070000000000001,9.4,48.60780365431418,0.0,0.00011447000000000001,0.00011447000000000001,0.00011447000000000001,-14.407147318295529,-90.57417004930244
DTB,Bittrex,2018-01-21 05:30:00,0.00010070000000000001,0.0001013,9.17e-05,9.48e-05,8.84,46.810430314586064,0.0,0.0001139,0.0001139,0.0001139,-15.14251823287995,-93.70500338263578
DTB,Bittrex,2018-01-22 05:30:00,9.48e-05,9.58e-05,9.1e-05,9.15e-05,5.42,45.79053722757613,0.0,0.000113485,0.000113485,0.000113485,-15.432024373736027,-97.99583671596912
DTB,Bittrex,2018-01-23 05:30:00,9.15e-05,9.9e-05,9.1e-05,9.14e-05,3.62,45.758002302278236,0.0,0.00011248000000000001,0.00011248000000000001,0.00011248000000000001,-15.184183761019327,-101.25383671596913
DTB,Bittrex,2018-01-24 05:30:00,9.14e-05,9.4e-05,9.01e-05,9.31e-05,3.14,46.454517372035795,0.0,0.00011197500000000001,0.00011197500000000001,0.00011197500000000001,-13.164442049570525,-99.5630674851999
DTB,Bittrex,2018-01-25 05:30:00,9.31e-05,9.6e-05,9e-05,9.559999999999999e-05,5.46,47.521727991747646,0.0,0.00011267,0.00011267,0.00011267,-9.635780254016893,-94.83106748519991
DTB,Bittrex,2018-01-26 05:30:00,9.559999999999999e-05,9.68e-05,9.059999999999999e-05,9.51e-05,5.51,47.31859809433708,0.0,0.000113035,0.000113035,0.000113035,-6.524497238315263,-92.34268038842572
DTB,Bittrex,2018-01-27 05:30:00,9.51e-05,0.0001165,9.429999999999999e-05,0.0001062,31.83,52.203087037070915,0.0,0.000113225,0.000113225,0.000113225,-3.9286372384823665,-90.04862633437163
DTB,Bittrex,2018-01-28 05:30:00,0.0001062,0.0001093,0.00010170000000000002,0.0001035,3.17,50.965255671010944,0.0,0.00011296499999999999,0.00011296499999999999,0.00011296499999999999,-3.0404069154351134,-91.71704738700323
DTB,Bittrex,2018-01-29 05:30:00,0.0001035,0.0001041,9.6e-05,9.6e-05,6.81,47.58958988279288,0.0,0.000110845,0.000110845,0.000110845,-4.567457518239863,-98.52704738700324
DTB,Bittrex,2018-01-30 05:30:00,9.6e-05,0.0001,9e-05,9.01e-05,8.49,45.061093188381555,0.0,0.00010861,0.00010861,0.00010861,-7.424272990456373,-106.84724738700325
DTB,Bittrex,2018-01-31 05:30:00,9.01e-05,9.02e-05,7.79e-05,8.52e-05,8.42,43.016916387928845,0.0,0.00010669,0.00010669,0.00010669,-7.417068102094007,-105.2727758422878
DTB,Bittrex,2018-02-01 05:30:00,8.52e-05,8.6e-05,7.099999999999999e-05,7.859999999999999e-05,5.72,40.36101842025252,0.0,0.00010261999999999999,0.00010261999999999999,0.00010261999999999999,-6.715575062725094,-105.19650917562115
DTB,Bittrex,2018-02-02 05:30:00,7.859999999999999e-05,8.46e-05,7.09e-05,7.6e-05,6.54,39.33082386373448,0.0,9.907999999999998e-05,9.907999999999998e-05,9.907999999999998e-05,-6.349712924460832,-106.86731209532917
DTB,Bittrex,2018-02-03 05:30:00,7.6e-05,8.45e-05,7.58e-05,7.879999999999999e-05,3.13,41.0751394629944,0.0,9.598999999999998e-05,9.598999999999998e-05,9.598999999999998e-05,-5.9318706553296465,-107.838691405674
DTB,Bittrex,2018-02-04 05:30:00,7.879999999999999e-05,8.4e-05,7.31e-05,7.48e-05,1.65,39.33523516271868,0.0,9.306499999999998e-05,9.306499999999998e-05,9.306499999999998e-05,-5.582912745037916,-108.97401250659144
DTB,Bittrex,2018-02-05 05:30:00,7.48e-05,7.62e-05,7.099999999999999e-05,7.099999999999999e-05,3.11,37.70138614469663,0.0,9.193499999999998e-05,9.193499999999998e-05,9.193499999999998e-05,-5.922165168551501,-112.08401250659143
DTB,Bittrex,2018-02-06 05:30:00,7.099999999999999e-05,7.53e-05,6.69e-05,7.43e-05,4.63,40.03093836599642,0.0,9.066999999999997e-05,9.066999999999997e-05,9.066999999999997e-05,-4.400147356787215,-108.55639345897238
DTB,Bittrex,2018-02-07 05:30:00,7.43e-05,8.45e-05,7.06e-05,7.900000000000001e-05,8.27,43.283829774596384,0.0,8.942499999999998e-05,8.942499999999998e-05,8.942499999999998e-05,-2.8285007748042403,-106.83099777551912
DTB,Bittrex,2018-02-08 05:30:00,7.900000000000001e-05,8.45e-05,7.900000000000001e-05,8.2e-05,2.94,45.322554584598045,0.0,8.788499999999998e-05,8.788499999999998e-05,8.788499999999998e-05,-1.8433766894240335,-106.5637250482464
DTB,Bittrex,2018-02-09 05:30:00,8.2e-05,8.2e-05,7.609999999999999e-05,7.8e-05,3.82,43.09805269727621,0.0,8.674999999999998e-05,8.674999999999998e-05,8.674999999999998e-05,-1.7054110972137835,-107.92338606519554
DTB,Bittrex,2018-02-10 05:30:00,7.8e-05,7.929999999999999e-05,7.3e-05,7.390000000000001e-05,2.42,40.883069472145756,0.0,8.570499999999998e-05,8.570499999999998e-05,8.570499999999998e-05,-2.0439332551992493,-109.65195749376697
DTB,Bittrex,2018-02-11 05:30:00,7.390000000000001e-05,8.2e-05,6.99e-05,7.64e-05,5.75,42.81303983858239,0.0,8.494999999999998e-05,8.494999999999998e-05,8.494999999999998e-05,-1.8605255851346243,-109.22427154335375
DTB,Bittrex,2018-02-12 05:30:00,7.64e-05,7.85e-05,7.41e-05,7.63e-05,0.8285,42.75291565711338,0.0,8.419499999999999e-05,8.419499999999999e-05,8.419499999999999e-05,-1.6163564850959347,-109.22427154335375
DTB,Bittrex,2018-02-13 05:30:00,7.63e-05,7.829999999999999e-05,7.28e-05,7.3e-05,1.28,40.7206234412289,0.0,8.318999999999998e-05,8.318999999999998e-05,8.318999999999998e-05,-1.7471805199060952,-110.41118063426283
DTB,Bittrex,2018-02-14 05:30:00,7.3e-05,7.47e-05,6.9e-05,7.08e-05,4.05,39.37676395215322,0.0,8.194999999999999e-05,8.194999999999999e-05,8.194999999999999e-05,-2.1166256160690438,-111.90328589742073
DTB,Bittrex,2018-02-15 05:30:00,7.08e-05,7.13e-05,6.48e-05,6.7e-05,3.39,37.09930372270858,0.0,8.054499999999998e-05,8.054499999999998e-05,8.054499999999998e-05,-2.4238242532482985,-112.9985166666515
DTB,Bittrex,2018-02-16 05:30:00,6.7e-05,6.840000000000001e-05,6.48e-05,6.52e-05,1.91,36.03608652585522,0.0,7.849499999999997e-05,7.849499999999997e-05,7.849499999999997e-05,-2.801825531294014,-114.48407222220706
DTB,Bittrex,2018-02-17 05:30:00,6.52e-05,6.75e-05,6.48e-05,6.48e-05,1.05,35.790616997343605,0.0,7.655999999999997e-05,7.655999999999997e-05,7.655999999999997e-05,-3.035841914922358,-115.53407222220706
DTB,Bittrex,2018-02-18 05:30:00,6.48e-05,6.6e-05,6.409999999999999e-05,6.409999999999999e-05,0.9625,35.336976222327316,0.0,7.496499999999997e-05,7.496499999999997e-05,7.496499999999997e-05,-3.1618402614137295,-116.49657222220706
DTB,Bittrex,2018-02-19 05:30:00,6.409999999999999e-05,6.6e-05,5.7700000000000007e-05,6.42e-05,6.48,35.462822249918155,0.0,7.366999999999996e-05,7.366999999999996e-05,7.366999999999996e-05,-1.758409418825778,-112.82717463184562
DTB,Bittrex,2018-02-20 05:30:00,6.42e-05,6.55e-05,6.01e-05,6.02e-05,3.21,32.71974471542043,0.0,7.241999999999997e-05,7.241999999999997e-05,7.241999999999997e-05,-2.0079585714091763,-115.91828574295673
DTB,Bittrex,2018-02-21 05:30:00,6.02e-05,6.55e-05,6.01e-05,6.4e-05,2.73,37.65357948498397,0.0,7.168999999999997e-05,7.168999999999997e-05,7.168999999999997e-05,-1.5414445667318546,-114.7049524096234
DTB,Bittrex,2018-02-22 05:30:00,6.4e-05,6.6e-05,6.3e-05,6.6e-05,1.55,40.14159559991964,0.0,7.118999999999997e-05,7.118999999999997e-05,7.118999999999997e-05,-0.7172847860246208,-113.1549524096234
DTB,Bittrex,2018-02-23 05:30:00,6.6e-05,6.6e-05,6.409999999999999e-05,6.57e-05,1.97,39.88448405064657,0.0,7.053499999999996e-05,7.053499999999996e-05,7.053499999999996e-05,0.11395479380760776,-111.80705767278131
DTB,Bittrex,2018-02-24 05:30:00,6.57e-05,6.840000000000001e-05,6.42e-05,6.42e-05,1.91,38.55476555911661,0.0,7.000499999999996e-05,7.000499999999996e-05,7.000499999999996e-05,-0.1640794502435341,-113.71705767278131
