,circulating_supply,id,last_updated,market_cap_BTC,market_cap_USD,max_supply,name,price_BTC,rank,symbol,total_supply,volume_24hour_BTC,volume_24hour_USD,website_slug
455,210000000.0,1208.0,1527678250.0,1701.0,12779340.0,210000000.0,RevolutionVR,8.1016e-06,444.0,RVR,210000000.0,39.2910490482,295130.0,revolutionvr
456,1600693.0,2773.0,1527678282.0,1677.0,12598699.0,,GINcoin,0.0010478474,445.0,GIN,1621063.0,19.1759703277,144038.0,gincoin
457,886211988.0,1358.0,1527678252.0,1663.0,12489829.0,999999999999999.0,E-Dinar Coin,1.8763e-06,446.0,EDR,1011211988.0,4.9676890265,37314.2,e-dinar-coin
458,51113355.0,2506.0,1527678275.0,1660.0,12466394.0,,Swarm,3.24703e-05,447.0,SWM,100000000.0,4.6824418416,35171.6,swarm-fund
459,81037294.0,2090.0,1527678265.0,1659.0,12460294.0,1000000000.0,LATOKEN,2.04703e-05,448.0,LA,400000000.0,35.0434940051,263225.0,latoken
460,109103345.0,2170.0,1527678268.0,1634.0,12272926.0,,Oxycoin,1.49758e-05,449.0,OXY,109103345.0,3.843155319,28867.4,oxycoin
461,900000000.0,1755.0,1527678259.0,1627.0,12217410.0,900000000.0,Flash,1.8072e-06,450.0,FLASH,900000000.0,0.4700760712,3530.92,flash
462,399936259.0,2459.0,1527678275.0,1606.0,12063077.0,,indaHash,4.0156e-06,451.0,IDH,400000000.0,3.3283364708,25000.4,indahash
463,42437714.0,233.0,1527678252.0,1589.0,11938281.0,,SolarCoin,3.74516e-05,452.0,SLR,98034440150.0,1.7871017043,13423.6,solarcoin
464,4856575.0,2360.0,1527678272.0,1588.0,11928719.0,,Hacken,0.0003269972,453.0,HKN,5600000.0,13.3872870232,100557.0,hacken
465,501394406.0,2334.0,1527678271.0,1568.0,11778958.0,,BitClave,3.1276e-06,454.0,CAT,1597746125.0,70.9368984128,532834.0,bitclave
466,500000000.0,2527.0,1527678276.0,1547.0,11622950.0,,SureRemit,3.0948e-06,455.0,RMT,1000000000.0,1.6191032806,12161.7,sureremit
467,25676546.0,215.0,1527678251.0,1546.0,11613271.0,,Rubycoin,6.02141e-05,456.0,RBY,25676546.0,0.6958228714,5226.59,rubycoin
468,7906397.0,1070.0,1527678250.0,1544.0,11599791.0,,Expanse,0.0001953223,457.0,EXP,16906397.0,10.6115387585,79707.3,expanse
469,5343207.0,2229.0,1527678269.0,1537.0,11545173.0,,Divi,0.0002876595,458.0,DIVX,6171607.0,118.6707369352,891381.0,divi
470,22747809.0,1603.0,1527678257.0,1534.0,11525245.0,,Databits,6.74514e-05,459.0,DTB,22747809.0,0.8786414747,6599.81,databits
471,16771834.0,1082.0,1527678249.0,1522.0,11429837.0,,SIBCoin,9.07277e-05,460.0,SIB,16771834.0,10.3792778424,77962.7,sibcoin
472,14645947176.0,1803.0,1527678263.0,1517.0,11391676.0,,PeepCoin,1.036e-07,461.0,PCN,53845947176.0,72.685711547,545970.0,peepcoin
473,9029338325.0,1814.0,1527678260.0,1513.0,11367576.0,30000000000.0,Linda,1.676e-07,462.0,LINDA,9029338325.0,7.0551350085,52993.8,linda
474,36998519.0,2327.0,1527678271.0,1511.0,11349370.0,,Olympus Labs,4.08383e-05,463.0,MOT,100000000.0,16.4990987009,123931.0,olympus-labs
475,458079764.0,2578.0,1527678277.0,1497.0,11247828.0,1000000000.0,TE-FOOD,3.2689e-06,464.0,TFD,567917833.0,24.0851880746,180913.0,te-food
476,208010487.0,1382.0,1527678253.0,1494.0,11224995.0,,NoLimitCoin,7.1842e-06,465.0,NLC2,208010487.0,5.8130197114,43663.8,nolimitcoin
477,74867103.0,1709.0,1527678258.0,1489.0,11185520.0,,Quantum,1.98905e-05,466.0,QAU,239775150.0,2.1026362666,15793.7,quantum
478,1816320.0,2107.0,1527678266.0,1487.0,11172548.0,60000000.0,LUXCoin,0.0008189174,467.0,LUX,4816320.0,17.7525301609,133346.0,luxcoin
479,28722127.0,2318.0,1527678271.0,1468.0,11023007.0,1500000000.0,Neumark,5.10933e-05,468.0,NEU,53014331.0,18.9290117129,142183.0,neumark
480,30990825.0,323.0,1527678254.0,1463.0,10986185.0,,VeriCoin,4.71948e-05,469.0,VRC,30990825.0,11.8017727768,88647.6,vericoin
481,23224303.0,2325.0,1527678271.0,1453.0,10914354.0,,Matryx,6.25656e-05,470.0,MTX,314159265.0,158.6805620272,1191910.0,matryx
